Figure 1 - Niveaux de l'emploi et structure de l'emploi salarié par région fin 2021,,,,,,,,
,,,,,,,,
Région,Effectifs (en milliers),,,Répartition de l’emploi salarié (en %),,,,
,Emploi total,Emploi non salarié,Emploi salarié,Agriculture,Industrie,Construction ,Tertiaire marchand,Tertiaire non marchand
Auvergne-Rhône-Alpes,"3,649",431,"3,219",1,15,6,48,30
Bourgogne-Franche-Comté,"1,115",128,988,2,17,5,41,35
Bretagne,"1,458",175,"1,282",2,14,6,44,33
Centre-Val de Loire,"1,043",109,933,1,16,6,44,33
Corse,142,22,120,3,6,10,43,38
Grand Est,"2,215",219,"1,996",1,16,6,43,34
Hauts-de-France,"2,345",208,"2,137",1,13,6,45,35
Île-de-France,"6,753",543,"6,210",0,7,5,62,26
Normandie,"1,362",141,"1,221",1,17,6,42,34
Nouvelle-Aquitaine,"2,600",357,"2,242",2,12,6,45,34
Occitanie,"2,497",362,"2,135",1,11,6,46,36
Pays de la Loire,"1,725",185,"1,540",2,17,6,46,29
Provence-Alpes-Côte d'Azur,"2,275",321,"1,954",1,8,6,51,34
Guadeloupe,143,19,124,1,8,6,44,42
Guyane,74,5,69,1,7,6,36,51
La Réunion,325,41,284,1,7,6,44,42
Martinique,144,15,130,3,7,5,44,42
France hors Mayotte,"29,866","3,282","26,583",1,12,6,49,32
"Lecture : fin 2021, 3,6 millions de personnes sont en emploi en Auvergne-Rhône-Alpes, dont 3,2 millions de salariés ; parmi ces derniers, 48 % sont salariés du tertiaire marchand.",,,,,,,,
Champ : France hors Mayotte.,,,,,,,,
"Source : Insee, Estimations d’emploi.",,,,,,,,
