region;admin_sante;commerces_malls;education;loisirs_verts;transports_rails
Auvergne-Rhône-Alpes;4567;2136;10859;5261;1328
Bourgogne-Franche-Comté;3976;897;4635;2019;164
Bretagne;1488;992;4007;2119;269
Centre-Val de Loire;1931;658;3157;1985;218
Grand Est;5484;1463;6698;3276;662
Hauts-de-France;4175;1415;7266;3150;927
Normandie;3232;819;3835;1726;210
Nouvelle-Aquitaine;4790;1741;6995;4130;295
Occitanie;4936;1756;6876;3744;388
Pays de la Loire;1649;906;4620;2889;109
Provence-Alpes-Côte d'Azur;1303;1491;4724;1836;659
Île-de-France;1791;2610;12088;5335;4377
